Property ID,Zip code,City,Type of Property,Subtype of Property,Price (€),Construction year,Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Building condition,Elevator,Basement,Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale,Region,Price per m²
10574878,6041,charleroi gosselies,house,house,129000,,2.0,138.0,Installed,0,0.0,1.0,0.0,0.0,0.0,160.0,2.0,0,Good,0,1,444.0,81.0,F,Gas,2.0,4.0,Walloon,934.7826086956521
10574877,1840,londerzeel,house,house,329000,1962.0,3.0,173.0,Semi equipped,0,0.0,1.0,60.0,1.0,200.0,510.0,3.0,0,To renovate,0,1,394.0,,D,Gas,1.0,2.0,Flemish,1901.7341040462427
10574876,9240,zele,house,house,320000,1982.0,3.0,176.0,Hyper equipped,0,0.0,1.0,18.0,0.0,0.0,218.0,3.0,0,Good,0,0,418.0,,E,Gas,3.0,4.0,Flemish,1818.1818181818182
10574874,7320,bernissart,house,house,130000,,3.0,110.0,Not installed,0,0.0,1.0,24.0,1.0,60.0,542.0,2.0,0,To be done up,0,1,396.0,97.0,E,Fuel oil,0.0,3.0,Walloon,1181.8181818181818
10574873,2800,mechelen,apartment,apartment,314700,,1.0,66.0,Installed,0,0.0,1.0,6.0,0.0,0.0,,2.0,0,As new,0,0,,,,Gas,2.0,6.0,Flemish,4768.181818181818
10574872,2800,mechelen,apartment,apartment,299700,,1.0,61.0,,0,0.0,1.0,6.0,0.0,0.0,,2.0,0,As new,0,0,,,,,,6.0,Flemish,4913.11475409836
10574871,2800,mechelen,apartment,apartment,297700,2022.0,1.0,70.0,USA hyper equipped,0,0.0,1.0,5.0,0.0,0.0,,2.0,0,As new,0,0,,,,Gas,3.0,6.0,Flemish,4252.857142857143
9978622,8570,vichte,house,villa,492150,2022.0,4.0,294.0,,0,0.0,0.0,0.0,1.0,0.0,599.0,3.0,0,As new,0,0,,,,,,6.0,Flemish,1673.9795918367347
9978621,8570,anzegem,house,villa,494650,2022.0,4.0,294.0,,0,0.0,0.0,0.0,1.0,0.0,609.0,3.0,0,As new,0,0,,,,,,6.0,Flemish,1682.4829931972788
10481596,4900,spa,house,villa,495000,,3.0,240.0,Installed,0,0.0,0.0,0.0,0.0,0.0,600.0,3.0,0,Just renovated,0,0,,,,Gas,2.0,5.0,Walloon,2062.5
10469481,2590,berlaar,house,villa,498000,1989.0,3.0,268.0,Installed,0,1.0,0.0,0.0,1.0,0.0,765.0,4.0,0,Good,0,0,160.0,,B,Gas,2.0,4.0,Flemish,1858.2089552238806
10066662,9900,eeklo,house,country cottage,510000,1900.0,5.0,231.0,Not installed,0,0.0,0.0,0.0,1.0,0.0,3460.0,,0,To renovate,0,1,1062.0,,F,,0.0,2.0,Flemish,2207.7922077922076
10425273,3270,scherpenheuvel-zichem,house,villa,519000,1975.0,3.0,178.0,Hyper equipped,0,0.0,1.0,38.0,0.0,0.0,1352.0,4.0,0,As new,0,0,360.0,,D,,3.0,6.0,Flemish,2915.7303370786517
